Date,Close,sigma2
2004-02-25,1673.34,0.000056
2004-02-26,1675.63,0.000050
2004-02-27,1675.70,0.000048
2004-03-01,1691.90,0.000046
2004-03-02,1681.88,0.000040
2004-03-03,1685.17,0.000047
2004-03-04,1690.83,0.000044
2004-03-05,1693.76,0.000040
2004-03-08,1679.74,0.000038
2004-03-09,1670.07,0.000049
2004-03-10,1645.79,0.000055
2004-03-11,1621.21,0.000082
2004-03-12,1641.42,0.000111
2004-03-15,1617.91,0.000095
2004-03-16,1627.03,0.000123
2004-03-17,1646.29,0.000109
2004-03-18,1644.21,0.000093
2004-03-19,1625.84,0.000091
2004-03-22,1604.80,0.000110
2004-03-23,1602.67,0.000134
2004-03-24,1598.85,0.000130
2004-03-25,1625.01,0.000128
2004-03-26,1623.36,0.000109
2004-03-29,1644.75,0.000105
2004-03-30,1651.43,0.000090
2004-03-31,1650.42,0.000081
2004-04-01,1659.16,0.000078
2004-04-02,1673.40,0.000070
2004-04-05,1686.24,0.000060
2004-04-06,1683.23,0.000053
2004-04-07,1672.14,0.000053
2004-04-08,1670.36,0.000061
2004-04-12,1679.02,0.000060
2004-04-13,1655.99,0.000054
2004-04-14,1654.17,0.000078
2004-04-15,1655.15,0.000076
2004-04-16,1663.62,0.000072
2004-04-19,1665.39,0.000064
2004-04-20,1639.49,0.000061
2004-04-21,1648.31,0.000090
2004-04-22,1671.63,0.000080
2004-04-23,1672.62,0.000069
2004-04-26,1665.19,0.000066
2004-04-27,1668.98,0.000070
2004-04-28,1646.19,0.000065
2004-04-29,1634.16,0.000089
2004-04-30,1624.51,0.000099
2004-05-03,1639.46,0.000105
2004-05-04,1642.50,0.000091
2004-05-05,1645.65,0.000084
2004-05-06,1634.75,0.000078
2004-05-07,1612.31,0.000086
2004-05-10,1595.38,0.000112
2004-05-11,1607.94,0.000130
2004-05-12,1611.15,0.000113
2004-05-13,1610.05,0.000105
2004-05-14,1609.12,0.000101
2004-05-17,1592.23,0.000097
2004-05-18,1603.14,0.000115
2004-05-19,1599.29,0.000101
2004-05-20,1600.06,0.000100
2004-05-21,1606.49,0.000095
2004-05-24,1609.22,0.000086
2004-05-25,1635.14,0.000080
2004-05-26,1638.16,0.000069
2004-05-27,1647.65,0.000064
2004-05-28,1646.80,0.000057
2004-06-01,1647.57,0.000056
2004-06-02,1653.66,0.000053
2004-06-03,1641.43,0.000049
2004-06-04,1650.07,0.000058
2004-06-07,1676.48,0.000052
2004-06-08,1679.21,0.000047
2004-06-09,1663.38,0.000044
2004-06-10,1671.01,0.000057
2004-06-14,1655.00,0.000051
2004-06-15,1664.92,0.000065
2004-06-16,1667.23,0.000058
2004-06-17,1665.02,0.000054
2004-06-18,1669.39,0.000054
2004-06-21,1662.46,0.000050
2004-06-22,1668.54,0.000054
2004-06-23,1682.75,0.000049
2004-06-24,1678.07,0.000043
2004-06-25,1668.93,0.000045
2004-06-28,1667.61,0.000051
2004-06-29,1671.84,0.000050
2004-06-30,1678.83,0.000047
2004-07-01,1661.45,0.000042
2004-07-02,1656.25,0.000057
2004-07-06,1642.76,0.000059
2004-07-07,1646.28,0.000070
2004-07-08,1632.81,0.000065
2004-07-09,1638.34,0.000077
2004-07-12,1640.65,0.000070
2004-07-13,1641.89,0.000065
2004-07-14,1636.62,0.000062
2004-07-15,1629.58,0.000064
2004-07-16,1621.80,0.000068
2004-07-19,1621.08,0.000073
2004-07-20,1632.52,0.000071
2004-07-21,1610.88,0.000062
2004-07-22,1615.27,0.000085
2004-07-23,1599.62,0.000078
2004-07-26,1596.48,0.000093
2004-07-27,1612.33,0.000092
2004-07-28,1613.50,0.000079
2004-07-29,1621.35,0.000075
2004-07-30,1623.26,0.000067
2004-08-02,1630.48,0.000063
2004-08-03,1620.28,0.000057
2004-08-04,1619.00,0.000064
2004-08-05,1592.64,0.000063
2004-08-06,1568.07,0.000095
2004-08-09,1569.96,0.000126
2004-08-10,1590.35,0.000118
2004-08-11,1586.43,0.000101
2004-08-12,1567.95,0.000100
